surface,id,name,goal,components,actions,special_states
public,PUB-01,الرئيسية والبحث,بدء البحث,نموذج الانطلاق/الوصول/التاريخ/الركاب، خطوط نشطة، مساعدة,بحث، تبديل الاتجاه، اختيار اليوم,تحميل/لا خطوط/خطأ موقع
public,PUB-02,نتائج الرحلات,مقارنة الرحلات,TripCard، فلترة الوقت والسعر والمكتب والخدمات,فتح التفاصيل، اختيار الرحلة,لا نتائج، نتائج محدثة، رحلة امتلأت
public,PUB-03,تفاصيل الرحلة,فهم العرض والسياسات,المكتب/الناقل، المحطات، المدة، الخدمات، الأمتعة، الإلغاء,متابعة للمقاعد,تغيير جوهري، مقاعد محدودة
public,PUB-04,اختيار المقاعد,تخصيص مقعد لكل راكب,SeatMap، عداد المهلة، مفتاح الحالات، بطاقات الركاب,اختيار/تغيير/تحرير,تعارض جنس، مقعد حُجز، انتهاء Hold
public,PUB-05,بيانات الركاب,جمع بيانات ضرورية,بطاقة لكل راكب، الجنس، الهوية/الجواز حسب السياسة، جهة الاتصال,حفظ ومتابعة,تحقق حقول، بيانات مكررة
public,PUB-06,مراجعة الحجز,موافقة واعية,ملخص الرحلة والمقاعد والركاب والسعر والسياسة,تعديل، الموافقة، متابعة الدفع,تغير سعر/سياسة يحتاج موافقة
public,PUB-07,اختيار الدفع,اختيار قناة متاحة,دفع مكتب، تحويل يدوي، إلكتروني إن مفعل، المهلة والتعليمات,إنشاء الحجز/بدء الدفع,مزود غير متاح، مهلة قصيرة
public,PUB-08,رفع إثبات التحويل,إرسال دليل دفع يدوي,تعليمات الحساب، مبلغ، رقم مرجع، ملف خاص,رفع وإرسال,فشل فحص، ملف غير مدعوم
public,PUB-09,نجاح الحجز,إظهار النتيجة الموثوقة,PNR، الحالة، الدفع، المهلة، المقاعد، تعليمات,تنزيل، مشاركة، فتح الإدارة,إشعار فشل لكن الحجز ناجح
public,PUB-10,إدارة الحجز,خدمة ذاتية دون حساب,ملخص، Timeline، الدفع، الإلغاء، التذكرة، الدعم,دفع/إلغاء/تنزيل/شكوى,رمز منتهي أو غير صالح
public,PUB-11,عرض التذكرة,إثبات السفر,QR لكل راكب، PNR، المقعد، الرحلة، التعليمات,تنزيل/طباعة,QR مبطل، نسخة أحدث
public,PUB-12,عرض الإلغاء,معرفة الأثر قبل التنفيذ,تفصيل المبلغ والسياسة والموعد,تأكيد الإلغاء,انتهاء نافذة، نزاع قائم
public,PUB-13,نتيجة الإلغاء,توثيق الإلغاء والاسترداد,حالة كل راكب، المبلغ والطريقة والوقت المتوقع,العودة للحجز، دعم,استرداد قيد المعالجة
public,PUB-14,البحث عن حجز,استرجاع كضيف,PNR + هاتف/بريد + مكتب/ناقل عند الحاجة,تحقق وفتح,محاولات كثيرة، عدم تطابق
public,PUB-15,تسجيل الدخول,وصول الحساب الاختياري,هاتف/بريد وكلمة مرور/رمز حسب التصميم,دخول، استعادة,جهاز جديد، MFA عند الحاجة
public,PUB-16,حجوزاتي,عرض التاريخ والحجوزات القادمة,بطاقات مقسمة قادمة/سابقة/ملغاة,فتح الحجز,لا حجوزات
public,PUB-17,ملفي,إدارة بيانات الحساب,الاسم، الاتصال، الجلسات، الخصوصية,تعديل، تصدير، حذف حساب,قيود حذف قانونية
public,PUB-18,مركز المساعدة,إجابة ودعم,مقالات، بحث، إنشاء حالة,فتح مقال/تذكرة,حالة عاجلة ترفع الأولوية
public,PUB-19,مركز السياسات,شفافية الشروط,فهرس النسخ والملخص والنص الكامل,عرض/تنزيل,نسخة تاريخية
public,PUB-20,حالة النظام,إبلاغ الأعطال,الخدمات المتأثرة والتحديثات,اشتراك بالتحديث,وضع متدهور
office,OFF-01,لوحة اليوم,مؤشرات وتشغيل,رحلات اليوم، حجوزات معلقة، دفع للتحقق، حالات عاجلة,فتح الرحلة/الحالة,وضع متدهور
office,OFF-02,قائمة الرحلات,إدارة الرحلات,فلترة تاريخ/مسار/حالة/فرع,إنشاء، فتح، نسخ رحلة,لا رحلات
office,OFF-03,إنشاء/تعديل رحلة,تعريف التشغيل,مسار، توقيت، بولمان، سائق، سعر، سياسة، دفع,حفظ مسودة، نشر,تعارض جاهزية
office,OFF-04,تفاصيل الرحلة,مركز الرحلة,مؤشرات، خريطة، ركاب، دفع، تغييرات,فتح الصعود، تغيير، إلغاء,رحلة مقفلة
office,OFF-05,خريطة المقاعد الحية,المخزون الموحد,SeatMap + حالة كل مقعد + قناة البيع,حجز مكتب، نقل مقعد,تزامن وتحديث لحظي
office,OFF-06,حجز من المكتب,بيع سريع,مقعد، راكب، اتصال، دفع,تأكيد وطباعة,تعارض جنس/حظر
office,OFF-07,قائمة الحجوزات,بحث وإدارة,PNR، راكب، هاتف، حالة، قناة,فتح/تصدير,بيانات مخفية حسب الصلاحية
office,OFF-08,تفاصيل الحجز,إدارة شاملة,ركاب، مقاعد، دفع، Timeline، مستندات,تأكيد دفع، تعديل مسموح، دعم,حجز مقفل
office,OFF-09,تحقق التحويلات,معالجة الدفع اليدوي,إثبات، وقت التحويل، مبلغ، تطابق,قبول/رفض/طلب معلومات,مقعد غير متاح
office,OFF-10,الصعود,تشغيل البوابة,ماسح QR، بحث يدوي، قائمة ركاب,صعود/تراجع مخول,QR مكرر/مبطل
office,OFF-11,Manifest,قائمة تشغيل,ركاب ومقاعد وحالات وملاحظات آمنة,طباعة/تنزيل مشفر,مقفل بعد الانطلاق
office,OFF-12,تغيير البولمان,إعادة توزيع,المركبة الجديدة، خوارزمية المطابقة، تعارضات,محاكاة، اعتماد,لا توزيع صالح
office,OFF-13,إلغاء/تغيير الرحلة,إجراء جوهري,سبب، بدائل، متأثرون، تكلفة,معاينة، اعتماد,موافقة إضافية
office,OFF-14,البولمانات,إدارة الأسطول,قائمة وحالة ووثائق ومخطط,إضافة/تعطيل,وثيقة منتهية
office,OFF-15,مخططات المقاعد,إنشاء الإصدارات,محرر صفوف/ممر/مجاورات,حفظ إصدار/معاينة,مخطط مستخدم لا يعدل
office,OFF-16,السائقون,إدارة بيانات التشغيل,بيانات ووثائق وحالة,إضافة/تعليق,وثيقة حرجة
office,OFF-17,المسارات والنقاط,إعداد العرض,نقاط مرتبة ومدد,طلب/تعديل ضمن صلاحية,اعتماد منصة مطلوب
office,OFF-18,الأسعار والسياسات,تكوين الرحلات,قوالب سعر/إلغاء/أمتعة/دفع,إنشاء إصدار,حد منصة
