code,http_status,message_ar,trigger,retryable,visibility
AUTH_REQUIRED,401,يجب تسجيل الدخول,لا توجد جلسة/رمز صالح,False,public
AUTH_INVALID_CREDENTIALS,401,بيانات الدخول غير صحيحة,فشل المصادقة,False,public
AUTH_MFA_REQUIRED,403,يلزم تحقق إضافي,إجراء حساس أو حساب موظف,True,public
AUTH_MFA_INVALID,403,رمز التحقق غير صحيح,MFA فشل,True,public
AUTH_SESSION_EXPIRED,401,انتهت الجلسة,expires/revoked,True,public
AUTH_ACCOUNT_SUSPENDED,403,الحساب موقوف,حالة المستخدم,False,public
PERMISSION_DENIED,403,ليس لديك صلاحية لهذا الإجراء,RBAC,False,public
TENANT_ACCESS_DENIED,403,لا يمكن الوصول إلى بيانات هذا المكتب,عزل المستأجر,False,internal
RESOURCE_NOT_FOUND,404,العنصر غير موجود,معرف غير صالح أو خارج النطاق,False,public
VALIDATION_ERROR,422,تحقق من البيانات المدخلة,فشل schema/domain validation,True,public
CONFLICT,409,تعارضت العملية مع الحالة الحالية,Optimistic/state conflict,True,public
STATE_TRANSITION_NOT_ALLOWED,409,لا يمكن تنفيذ الإجراء في الحالة الحالية,انتقال غير موجود,False,public
VERSION_CONFLICT,409,تم تعديل البيانات من مستخدم آخر,version mismatch,True,public
IDEMPOTENCY_KEY_REQUIRED,400,يلزم مفتاح منع التكرار,أمر مالي/حجز بلا header,True,public
IDEMPOTENCY_KEY_REUSED,409,أعيد استخدام المفتاح بطلب مختلف,request hash mismatch,False,public
RATE_LIMITED,429,محاولات كثيرة، حاول لاحقًا,rate limit/risk,True,public
TRIP_NOT_BOOKABLE,409,الرحلة غير متاحة للحجز,حالة/وقت الرحلة,False,public
TRIP_NOT_READY,422,بيانات الرحلة غير مكتملة,جدولة قبل اكتمالها,True,office
TRIP_INVENTORY_INVALID,409,مخطط مقاعد الرحلة غير صالح,trip_seats mismatch,False,office
TRIP_ALREADY_DEPARTED,409,انطلقت الرحلة بالفعل,actual_departure_at,False,public
TRIP_DEPARTURE_BLOCKED,409,لا يمكن تسجيل الانطلاق قبل معالجة التعارضات,manifest/seat/payment blockers,True,office
TRIP_CANCEL_REASON_REQUIRED,422,أدخل سبب إلغاء الرحلة,سبب فارغ,True,office
TRIP_UNRESOLVED_CASES,409,توجد حالات ركاب غير محسومة,دعم/boarding,True,office
BOARDING_TOO_EARLY,409,لم يحن وقت فتح الصعود,boarding_open_at,True,office
BOARDING_NOT_OPEN,409,الصعود غير مفتوح,حالة الرحلة,True,public
URGENT_CASE_OPEN,409,توجد حالة عاجلة تمنع إغلاق الصعود,P0/P1,True,office
SEAT_NOT_AVAILABLE,409,المقعد لم يعد متاحًا,Hold/assignment قائم,True,public
SEAT_HOLD_EXPIRED,409,انتهت مهلة الاحتفاظ بالمقعد,expires_at,True,public
SEAT_HOLD_NOT_OWNED,403,الحجز المؤقت لا يخص هذه الجلسة,token/session mismatch,False,public
SEAT_GENDER_CONFLICT,409,المقعد غير متاح وفق سياسة توزيع المقاعد,تجاور حجز مستقل مختلف الجنس,True,public
SEAT_LAYOUT_MISMATCH,409,المقعد لا ينتمي إلى مخطط الرحلة,layout mismatch,False,office
SEAT_REALLOCATION_REQUIRED,409,يلزم اختيار مقعد بديل,تغيير البولمان/التوزيع,True,public
PRICE_CHANGED,409,تغير السعر، راجع السعر الجديد قبل المتابعة,snapshot/quote expired,True,public
BOOKING_TRIP_NOT_BOOKABLE,409,لا يمكن إنشاء حجز على هذه الرحلة,trip guard,False,public
BOOKING_DEADLINE_NOT_REACHED,409,مهلة الدفع لم تنته بعد,expiry job early,False,internal
BOOKING_DEADLINE_EXPIRED,409,انتهت مهلة الدفع,now > deadline,False,public
CANCELLATION_NOT_ALLOWED,409,لا يسمح بالإلغاء وفق الشروط الحالية,policy snapshot,False,public
PASSENGER_ALREADY_BOARDED,409,لا يمكن الإلغاء بعد تسجيل الصعود,boarding status,False,public
PASSENGER_DATA_INCOMPLETE,422,أكمل بيانات جميع الركاب,passenger validation,True,public
PASSENGER_GENDER_REQUIRED,422,حدد جنس الراكب لاختيار المقعد,gender rule enabled,True,public
NO_SHOW_NOT_ALLOWED,409,لا يمكن تسجيل عدم الحضور الآن,trip/case guards,False,office
PAYMENT_REQUIRED,402,يلزم إتمام الدفع أو تسجيله,booking payment rule,True,public
PAYMENT_PROVIDER_UNAVAILABLE,503,الدفع الإلكتروني غير متاح مؤقتًا,provider outage,True,public
PAYMENT_AMOUNT_MISMATCH,409,مبلغ الدفع لا يطابق المطلوب,amount/currency mismatch,False,public
PAYMENT_WEBHOOK_INVALID,400,إشعار دفع غير صالح,signature/event invalid,False,internal
PAYMENT_ALREADY_SUCCEEDED,409,تم تسجيل الدفع مسبقًا,intent succeeded,False,public
PAYMENT_STATE_CONFLICT,409,حالة الدفع لا تسمح بهذا الإجراء,state machine,True,public
PAYMENT_APPROVAL_REQUIRED,403,يلزم اعتماد مالي إضافي,threshold/role,True,office
PAYMENT_NOT_EXPIRED,409,عملية الدفع لم تنته بعد,expires_at,False,internal
MANUAL_TRANSFER_DUPLICATE,409,مرجع التحويل مستخدم سابقًا,unique ref/proof,False,public
MANUAL_TRANSFER_NOT_FOUND,422,لم يتم العثور على التحويل في الحساب المستلم,actual receipt missing,True,office
PAYMENT_REJECTION_REASON_REQUIRED,422,أدخل سبب رفض التحويل,reason blank,True,office
REFUND_AMOUNT_EXCEEDS_AVAILABLE,422,المبلغ المطلوب أكبر من المتاح للاسترداد,paid-refunded-frozen,True,public
REFUND_REQUIRED,409,يجب إتمام الاسترداد قبل إغلاق الإلغاء,paid booking,True,office
REFUND_NOT_COMPLETED,409,الاسترداد لم يكتمل,refund state,True,office
REFUND_ALREADY_APPROVED,409,تم اعتماد طلب الاسترداد,state,False,public
REFUND_PROVIDER_UNAVAILABLE,503,تعذر تنفيذ الاسترداد مؤقتًا,provider,True,office
REFUND_RETRY_LIMIT,409,تجاوزت العملية حد إعادة المحاولة,retry policy,False,office
REFUND_REJECTION_REASON_REQUIRED,422,أدخل سبب رفض الاسترداد,reason blank,True,office
